Method,Endpoint Path,Handler Function,Request Body Type,Response Type,Status Codes,Description,Example Request,Example Response,Notes
POST,/narratives,CreateNarrative,Narrative JSON,Narrative JSON,201 | 400 | 500,Create a new narrative,"{""title"": ""Understanding Traffic Flow"", ""content"": ""This narrative explores...""}","{""id"": ""narrative_1758576819"", ""title"": ""Understanding Traffic Flow"", ...}",ID field auto-generated
GET,/narratives,GetNarratives,None,Array of Narrative JSON,200 | 500,Get all narratives,None,"[{""id"": ""narrative_1758576819"", ""title"": ""Understanding Traffic Flow"", ...}]",Returns array even if empty
GET,/narratives/:id,GetNarrative,None,Narrative JSON,200 | 404 | 500,Get specific narrative by ID,None,"{""id"": ""narrative_1758576819"", ""title"": ""Understanding Traffic Flow"", ...}",404 if not found
PUT,/narratives/:id,UpdateNarrative,Narrative JSON,Narrative JSON,200 | 400 | 404 | 500,Update narrative by ID,"{""title"": ""Updated Title"", ""content"": ""Updated content""}","{""id"": ""narrative_1758576819"", ""title"": ""Updated Title"", ...}",Updates UpdatedAt timestamp
DELETE,/narratives/:id,DeleteNarrative,None,Status message,200 | 404 | 500,Delete narrative by ID,None,"{""message"": ""Narrative deleted successfully""}",Also deletes related relationships

POST,/systems,CreateSystem,System JSON,System JSON,201 | 400 | 500,Create a new system,"{""name"": ""Urban Traffic System"", ""boundary_description"": ""City roads...""}","{""id"": ""system_1758576829"", ""name"": ""Urban Traffic System"", ...}",ID field auto-generated
GET,/systems,GetSystems,None,Array of System JSON,200 | 500,Get all systems,None,"[{""id"": ""system_1758576829"", ""name"": ""Urban Traffic System"", ...}]",Returns array even if empty
GET,/systems/:id,GetSystem,None,System JSON,200 | 404 | 500,Get specific system by ID,None,"{""id"": ""system_1758576829"", ""name"": ""Urban Traffic System"", ...}",404 if not found
PUT,/systems/:id,UpdateSystem,System JSON,System JSON,200 | 400 | 404 | 500,Update system by ID,"{""name"": ""Updated System Name"", ""type"": ""Transportation""}","{""id"": ""system_1758576829"", ""name"": ""Updated System Name"", ...}",Updates system properties
DELETE,/systems/:id,DeleteSystem,None,Status message,200 | 404 | 500,Delete system by ID,None,"{""message"": ""System deleted successfully""}",Also deletes related relationships

POST,/stocks,CreateStock,Stock JSON,Stock JSON,201 | 400 | 500,Create a new stock,"{""name"": ""Number of Cars on Road"", ""description"": ""The accumulation of vehicles...""}","{""id"": ""stock_1758576860"", ""name"": ""Number of Cars on Road"", ...}",ID field auto-generated
GET,/stocks,GetStocks,None,Array of Stock JSON,200 | 500,Get all stocks,None,"[{""id"": ""stock_1758576860"", ""name"": ""Number of Cars on Road"", ...}]",Returns array even if empty
GET,/stocks/:id,GetStock,None,Stock JSON,200 | 404 | 500,Get specific stock by ID,None,"{""id"": ""stock_1758576860"", ""name"": ""Number of Cars on Road"", ...}",404 if not found
PUT,/stocks/:id,UpdateStock,Stock JSON,Stock JSON,200 | 400 | 404 | 500,Update stock by ID,"{""name"": ""Updated Stock Name"", ""description"": ""Updated description""}","{""id"": ""stock_1758576860"", ""name"": ""Updated Stock Name"", ...}",Updates stock properties
DELETE,/stocks/:id,DeleteStock,None,Status message,200 | 404 | 500,Delete stock by ID,None,"{""message"": ""Stock deleted successfully""}",Also deletes related relationships

POST,/flows,CreateFlow,Flow JSON,Flow JSON,201 | 400 | 500,Create a new flow,"{""name"": ""Cars Entering System"", ""description"": ""Rate at which vehicles enter...""}","{""id"": ""flow_1758576873"", ""name"": ""Cars Entering System"", ...}",ID field auto-generated
GET,/flows,GetFlows,None,Array of Flow JSON,200 | 500,Get all flows,None,"[{""id"": ""flow_1758576873"", ""name"": ""Cars Entering System"", ...}]",Returns array even if empty
GET,/flows/:id,GetFlow,None,Flow JSON,200 | 404 | 500,Get specific flow by ID,None,"{""id"": ""flow_1758576873"", ""name"": ""Cars Entering System"", ...}",404 if not found
PUT,/flows/:id,UpdateFlow,Flow JSON,Flow JSON,200 | 400 | 404 | 500,Update flow by ID,"{""name"": ""Updated Flow Name"", ""description"": ""Updated description""}","{""id"": ""flow_1758576873"", ""name"": ""Updated Flow Name"", ...}",Updates flow properties
DELETE,/flows/:id,DeleteFlow,None,Status message,200 | 404 | 500,Delete flow by ID,None,"{""message"": ""Flow deleted successfully""}",Also deletes related relationships

POST,/questions,CreateQuestion,QuestionData JSON,QuestionData JSON,201 | 400 | 500,Create a new question,"{""content"": ""How does traffic light timing affect congestion?"", ""status"": ""unresolved"", ""type"": ""behavioral""}","{""id"": ""question_1758576900"", ""content"": ""How does traffic light timing..."", ...}",ID field auto-generated
GET,/questions,GetQuestions,None,Array of QuestionData JSON,200 | 500,Get all questions,None,"[{""id"": ""question_1758576900"", ""content"": ""How does traffic light..."", ...}]",Returns array even if empty
